,,68,48,46,41
Tier,,1,2,3,4
P,Name,,,,
1012835000181,XV DOWNY ĐAM MÊ TÚI 2.4L/2.3L,1,,,
1012835000182,XV DOWNY HUYỀN BÍ TÚI 2.4L/2.3L,1,1,1,1
1012835000183,XV DOWNY BAN MAI TÚI 2.4L,1,1,1,1
1012835000480,NXV DOWNY ĐAM MÊ TÚI 3L,1,1,1,1
1012835000481,NXV DOWNY HƯƠNG NẮNG MAI TÚI 3L,1,1,1,1
1012835000482,NXV DOWNY HUYỀN BÍ TÚI 3L,1,1,1,1
1012835000505,NXV DOWNY HƯƠNG NẮNG MAI TÚI 3.5L,1,1,1,1
1012835000506,NXV DOWNY HUYỀN BÍ TÚI 3.5L,1,1,1,
1012835000513,NX DOWNY LÀN GIÓ MÁT TÚI 2.4KG,1,,,
1012835000616,NƯỚC XẢ VẢI DOWNY EM BÉ MỀM MẠI TINH KHIẾT TÚI 3.5L,1,,,
1012835000617,NƯỚC XẢ VẢI DOWNY ĐAM MÊ TÚI 3.5L,1,1,1,
1013041000317,NƯỚC XẢ VẢI DOWNY HOA OẢI HƯƠNG TÚI 3LX4,1,,,
1013059000115,NƯỚC GIẶT ARIEL SẠCH NHANH  TÚI 3.6KG,1,,,
1013059000116,NƯỚC GIẶT ARIEL HƯƠNG DOWNY TÚI 3.25KG,1,1,1,1
1013059000429,NƯỚC GIẶT ARIEL MATIC CỬA TRƯỚC TƯƠI MÁT RỰC RỠ TÚI 3.2KG,1,1,1,1
1013059000486,NƯỚC GIẶT ARIEL HƯƠNG DOWNY OẢI HƯƠNG TÚI 3.2KG,1,1,1,1
1013059000489,NƯỚC GIẶT ARIEL CỬA TRƯỚC BUNG TỎA ĐAM MÊ 3.05KG,1,1,1,1
1013059000545,NƯỚC GIẶT ARIEL HƯƠNG DOWNY TÚI 3.9KG,1,,,
1013059000614,NƯỚC GIẶT ARIEL CỬA TRƯỚC SẠCH KHUẨN HƯƠNG DOWNY NẮNG SỚM TÚI 3.9KG,1,,,
1013059000672,NƯỚC GIẶT ARIEL CỬA TRƯỚC HƯƠNG SEN NHÀI TÚI 2.3KG,1,1,1,1
1013059000674,NƯỚC GIẶT ARIEL HƯƠNG DOWNY TÚI 2.5KG,1,1,1,1
1013059000772,NƯỚC GIẶT DOWNY VƯỜN HOA THƠM NGÁT TÚI 2.65KG,1,1,1,1
1013117000068,SÁP THƠM AMBIPUR HƯƠNG SẢ 180G,1,1,1,1
1013117000168,SÁP THƠM AMBIPUR HƯƠNG OẢI HƯƠNG 180G,1,1,1,1
1013121000048,XỊT PHÒNG AMBIPUR LAVENDER 300ML,1,,,
3014260301705,LƯỠI DAO CẠO GILLETTE VECTOR 4 1CS,1,1,1,1
4902430044257,BVS WHISPER CANH 10,1,1,1,1
4902430284240,XBC SAFEGUARD TRẮNG 135G/130G,1,1,1,1
4902430284257,XBC SAFEGUARD HONG 135G/130G,1,,,
4902430284264,XBC SAFEGUARD XANH 135G/130G,1,,,
4902430379526,DG H&S BẠC HÀ 350ML,1,1,1,
4902430379809,DG H&S BẠC HÀ 625ML,1,1,1,1
4902430379816,DG H&S SUÔN MỀM ÓNG MƯỢT CHAI 625ML,1,1,1,1
4902430379830,DG H&S DA DAU NGUA 625ML,1,,,
4902430451680,DG REJOICE SIÊU MƯỢT 320G,1,,,
4902430451734,DG REJOICE SIÊU MƯỢT 650G,1,1,1,1
4902430467773,DG PANTENE MƯỢT MÀ ÓNG Ả 650G,1,,,
4902430495905,BVS WHISPER ULTRA 10,1,1,1,1
7702018017386,DAO CẠO GILLETTE CAN VANG GOI5+1,1,1,1,1
8888826016175,DAO CẠO GILLETTE VECTOR PLUS RAZOR 1UP,1,1,1,1
8888826016182,LƯỠI DAO CẠO GILLETTE VECTOR 2,1,1,1,1
9252551000089,BVS WHISPER MỀM MỎNG CÁNH 24CM 18 MIẾNG,1,1,1,1
9252834000039,LƯỠI LAM GIILETE SUPER THIN,1,1,1,1
9252834000137,BỌT CẠO RÂU GILLETTE 175 GAM,1,1,1,1
9252836000147,CHỈ NHA KHOA ORAL-B,1,1,1,1
9252837000060,DX PANTENE NGĂN RỤNG TÓC 650G,1,,,
9252837000231,DẦU XẢ PANTENE NGĂN RỤNG TÓC 300ML,1,,,
9252837000232,DẦU XẢ PANTENE 3PDKỲ NGĂN RỤNG TÓC 150ML,1,1,,
9252837000446,KEM XẢ PANTENE 3 PHÚT DIÊU KỲ NGĂN RỤNG TÓC 300ML,1,1,1,1
9252837000527,DẦU XẢ REJOICE SIÊU MƯỢT 48H CHAI 320ML,1,,,
9253080000051,BỘ 2 + 1 BCDR ORAL-B TRÀ XANH LÔNG TƠ SIÊU MỀM,1,1,1,1
9253123000007,DẦU GỘI REJOICE SIÊU MƯỢT CHAI 900G,1,1,1,
9253123000008,DẦU GỘI H&S BẠC HÀ MÁT LẠNH CHAI 850G,1,1,1,1
9253123000288,DẦU GỘI PANTENE CHĂM SÓC HƯ TỔN 670G/650G,1,1,1,1
9253123000291,DẦU GỘI PANTENE NGĂN RỤNG TÓC 300G,1,1,1,1
9253123000292,DẦU GỘI PANTENE NGĂN RỤNG TÓC 900G,1,1,1,1
9253123000506,DG PANTENE PRO-V PHỤC HỒI TÓC HƯ TỔN 900G,1,,,
9253123000960,DẦU GỘI PANTENE NGĂN RỤNG TÓC 600ML,1,1,1,1
9253123001014,DẦU GỘI REJOICE THƠM MỀM MƯỢT JEJU CHAI 630ML,1,1,1,1
9253123001015,DẦU GỘI REJOICE THƠM MỀM MƯỢT JEJU CHAI 900ML,1,,,
9253123001059,DG H&S SUÔN MỀM ÓNG MƯỢT 850ML,1,1,1,
9253127000020,NƯỚC RỬA TAY SAFEGUARD TRẮNG TINH KHIẾT 450ML,1,1,1,1
9253131001010,SỮA TẮM SAFEGUARD TRẮNG TINH KHIẾT 720ML,1,,,
9253132000024,DẦU GỘI HEAD & SHOULDERS BẠC HÀ 480ML,1,,,
9253163000071,DAO CẠO GILLETTE  CÁN DAO MARCH3 + 2 LƯỠI,1,1,1,1
9253163000072,GILLETTE LƯỠI DAO CẠO MACH3+ VỈ 3 ,1,1,1,1
9253163000116,DCAO BLUE 2 FLEXI 5+2 ,1,1,1,1
9253163000127,DAO CẠO GILLETTE FLEXI VIBE 1UP + 4 LƯỠI,1,1,,
